Site,Date,Month,Transect,healthy,sick,count,prev,trans,diseased,species
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,1,8,0,8,0,41,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,6/6/14,June,2,6,0,6,0,42,0,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,0,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,0,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,0,pycn
Strathmann House,5/7/14,May,1,8,0,8,0,45,0,pycn
Strathmann House,5/7/14,May,1,8,0,8,0,45,0,pycn
Strathmann House,5/7/14,May,1,8,0,8,0,45,0,pycn
Strathmann House,5/7/14,May,1,8,0,8,0,45,0,pycn
Strathmann House,5/7/14,May,1,8,0,8,0,45,0,pycn
Strathmann House,5/7/14,May,1,8,0,8,0,45,0,pycn
Strathmann House,5/7/14,May,1,8,0,8,0,45,0,pycn
Strathmann House,5/7/14,May,1,8,0,8,0,45,0,pycn
Strathmann House,5/7/14,May,2,2,0,2,0,46,0,pycn
Strathmann House,5/7/14,May,2,2,0,2,0,46,0,pycn
Strathmann House,5/7/14,May,3,9,0,9,0,47,0,pycn
Strathmann House,5/7/14,May,3,9,0,9,0,47,0,pycn
Strathmann House,5/7/14,May,3,9,0,9,0,47,0,pycn
Strathmann House,5/7/14,May,3,9,0,9,0,47,0,pycn
Strathmann House,5/7/14,May,3,9,0,9,0,47,0,pycn
Strathmann House,5/7/14,May,3,9,0,9,0,47,0,pycn
Strathmann House,5/7/14,May,3,9,0,9,0,47,0,pycn
Strathmann House,5/7/14,May,3,9,0,9,0,47,0,pycn
Strathmann House,5/7/14,May,3,9,0,9,0,47,0,pycn
Strathmann House,5/7/14,May,4,2,0,2,0,48,0,pycn
Strathmann House,5/7/14,May,4,2,0,2,0,48,0,pycn
Strathmann House,6/3/14,June,1,1,1,2,50,49,0,pycn
Strathmann House,6/3/14,June,2,3,1,4,25,50,0,pycn
Strathmann House,6/3/14,June,2,3,1,4,25,50,0,pycn
Strathmann House,6/3/14,June,2,3,1,4,25,50,0,pycn
Strathmann House,7/5/14,July,1,1,2,3,66.66666667,51,0,pycn
Strathmann House,7/5/14,July,2,5,1,6,16.66666667,52,0,pycn
Strathmann House,7/5/14,July,2,5,1,6,16.66666667,52,0,pycn
Strathmann House,7/5/14,July,2,5,1,6,16.66666667,52,0,pycn
Strathmann House,7/5/14,July,2,5,1,6,16.66666667,52,0,pycn
Strathmann House,7/5/14,July,2,5,1,6,16.66666667,52,0,pycn
FHL Dock,5/8/14,May,1,1,1,2,50,12,0,pycn
FHL Dock,5/8/14,May,2,1,0,1,0,13,0,pycn
FHL Dock,5/8/14,May,3,2,1,3,33.33333333,14,0,pycn
FHL Dock,5/8/14,May,3,2,1,3,33.33333333,14,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,0,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,0,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,0,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,0,pycn
Reuben Tarte,6/5/14,June,1,3,0,3,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,3,0,3,0,19,0,pycn
Reuben Tarte,6/5/14,June,1,3,0,3,0,19,0,pycn
Reuben Tarte,6/5/14,June,2,2,0,2,0,20,0,pycn
Reuben Tarte,6/5/14,June,2,2,0,2,0,20,0,pycn
Reuben Tarte,6/5/14,June,3,1,0,1,0,21,0,pycn
Reuben Tarte,7/5/14,July,1,5,0,5,0,22,0,pycn
Reuben Tarte,7/5/14,July,1,5,0,5,0,22,0,pycn
Reuben Tarte,7/5/14,July,1,5,0,5,0,22,0,pycn
Reuben Tarte,7/5/14,July,1,5,0,5,0,22,0,pycn
Reuben Tarte,7/5/14,July,1,5,0,5,0,22,0,pycn
Reuben Tarte,7/5/14,July,2,2,0,2,0,23,0,pycn
Reuben Tarte,7/5/14,July,2,2,0,2,0,23,0,pycn
Reuben Tarte,7/5/14,July,3,2,0,2,0,24,0,pycn
Reuben Tarte,7/5/14,July,3,2,0,2,0,24,0,pycn
Rosario,5/7/14,May,1,6,0,6,0,29,0,pycn
Rosario,5/7/14,May,1,6,0,6,0,29,0,pycn
Rosario,5/7/14,May,1,6,0,6,0,29,0,pycn
Rosario,5/7/14,May,1,6,0,6,0,29,0,pycn
Rosario,5/7/14,May,1,6,0,6,0,29,0,pycn
Rosario,5/7/14,May,1,6,0,6,0,29,0,pycn
Rosario,5/7/14,May,2,4,0,4,0,30,0,pycn
Rosario,5/7/14,May,2,4,0,4,0,30,0,pycn
Rosario,5/7/14,May,2,4,0,4,0,30,0,pycn
Rosario,5/7/14,May,2,4,0,4,0,30,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,3,12,0,12,0,31,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
